company,domain,hubspot_company_id,in_hubspot,composite,tier,sites,city_state,nearest_primo,domain_source
Ditta Meat Food Service Company,,,no,66.71,C,1,"Pasadena, TX",US PL Pasadena Factory,
AprilAire Westport Distribution Center,,,no,66.71,C,1,"Madison, WI",US PL Madison Factory,
Sacramento Cookie Factory,,,no,66.71,C,1,"Sacramento, CA",US PL Sacramento Factory,
Sienna Sauce,,,no,66.71,C,1,"Houston, TX",US PL S Houston Factory,
"County Fair Foods, Inc.",,,no,66.71,C,1,"Arlington, TX",US PL Dallas 2 Factory,
CROSSDOCK SACRAMENTO,,,no,66.71,C,1,"Sacramento, CA",US PL Sacramento Factory,
Davis Manufacturing Company,,,no,66.7,C,1,"Wheat Ridge, CO",US PL Denver Factory,
Bell Laboratories - Mfg Building 1,,,no,66.67,D,1,"Madison, WI",US PL Madison Factory,
Quality Packaging,qpsiusa.com,,no,66.63,C,3,"Grand Prairie, TX",US PL Dallas 2 Factory,company_fuzzy:medium
Us Distributing Inc,,,no,66.62,D,1,"Denver, CO",US PL Denver Factory,
Us Oil,,,no,66.62,D,1,"McFarland, WI",US PL Madison Factory,
"Going, Going, Gone!",,,no,66.62,D,1,"Webster, TX",US PL Pasadena Factory,
RaynGuard Protective Materials,,,no,66.62,D,1,"Sacramento, CA",US PL Sacramento Factory,
Saffi Saana,,,no,66.62,D,1,"Madison, WI",US PL Madison Factory,
Amazon UTX7,amazon.com,8981959027,yes,66.59,A,1,"Fort Worth, TX",US PL Dallas 2 Factory,package
Xero Shoes Store and Fulfillment Center,,,no,66.57,C,1,"Denver, CO",US PL Denver Factory,
Global Industrial Distribution Inc.,globalindustrial.com,54772733860,yes,66.57,C,1,"DeSoto, TX",US PL Dallas 2 Factory,package
"Waddington North America, A Novolex Brand (Warehouse)",,,no,66.57,C,1,"DeSoto, TX",US PL Dallas 2 Factory,
CANRIG Lockwood Warehouse,,,no,66.57,C,1,"Houston, TX",US PL S Houston Factory,
Tyler warehouse,,,no,66.57,C,1,"Tyler, TX",US PL Hawkins Factory,
Klosterman Baking Company Fresh Distribution- Indianapolis,klostermanbakery.com,,no,66.57,C,1,"Indianapolis, IN",US PL Greenwood Indiana,parent_facility:medium
Naderi deals liquidation warehouse,,,no,66.57,C,1,"Sacramento, CA",US PL Sacramento Factory,
Union Gospel Mission - Food Distribution Center,,,no,66.57,C,1,"Sacramento, CA",US PL Sacramento Factory,
Bradford Global Logistics,,,no,66.57,C,1,"Houston, TX",US PL S Houston Factory,
LT Foods Americas,,,no,66.57,C,1,"Missouri City, TX",US PL S Houston Factory,
Allen Manufacturing,,,no,66.55,C,1,"Lewiston, ME",US PL Poland Spring Factory,
USA Truck,usa-truck.com,54771971667,yes,66.55,C,5,"Houston, TX",US PL S Houston Factory,package
G&G Industrial Lighting,,,no,66.55,C,1,"Malta, NY",US PL Saratoga Spring Factory,
Delek Logistics,delekus.com,54771978536,yes,66.5,C,1,"Big Sandy, TX",US PL Hawkins Factory,package
"Warehouse Wine, Liquor & Cigars",,,no,66.46,A,1,"Lutz, FL",US PL Zephyrhills Factory,
Mini Mall Storage - Hot Springs,,,no,66.45,D,1,"Hot Springs, AR",US DC Hot Springs (WHSE),
Pride Transport Drop Yard,,,no,66.45,D,1,"Ontario, CA",US PL Ontario Factory,
MedXwaste-NY,,,no,66.45,D,1,"Saratoga Springs, NY",US PL Saratoga Spring Factory,
Mcfarland HWY 51 Warehousing,,,no,66.45,D,1,"McFarland, WI",US PL Madison Factory,
KIK Custom Products,kikcorp.com,9362537552,yes,66.45,D,1,"Houston, TX",US PL S Houston Factory,package
Sacramento Spring Inc.,,,no,66.45,D,1,"Sacramento, CA",US PL Sacramento Factory,
Zephyrhills Mover's,,,no,66.45,D,1,"Zephyrhills, FL",US PL Zephyrhills Factory,
Flint Hills Resources,fhr.com,54772586111,yes,66.45,D,1,"McFarland, WI",US PL Madison Factory,package
