distance_mi,tier,icp_score,existing,company,address
4.6,A,88,yes,"Kenco Logistics","6975 Ambassador Dr, Allentown, PA 18106, USA"
5.0,B,50,no,"Behr Process Distribution","9670 W Hills Ct, Fogelsville, PA 18051, USA"
5.1,A,76,no,"Onvo","2277 Golden Key Rd, Kutztown, PA 19530, USA"
5.4,A,86,no,"Kenco Logistic Services","9784 Commerce Cir, Kutztown, PA 19530, USA"
5.5,A,88,no,"GEODIS | Contract Logistics","9750 Commerce Cir, Kutztown, PA 19530, USA"
5.6,A,81,no,"Advance Auto Parts Distribution Center Kutztown","9755 Commerce Cir, Kutztown, PA 19530, USA"
5.7,A,71,no,"CORNERSTONE ORGANIC FEED LLC","509 Long Ln, Kutztown, PA 19530, USA"
6.0,A,73,no,"Walgreens Micro Fulfillment Center","4741 Chapmans Rd, Allentown, PA 18104, USA"
7.2,A,74,no,"Multicell North Inc.","240 Broad St, Kutztown, PA 19530, USA"
7.5,A,81,no,"Bison Transport USA","170 Gensinger Rd, Kutztown, PA 19530, USA"
7.6,A,74,no,"Kutztown Bottling Works","78 S Whiteoak St, Kutztown, PA 19530, USA"
9.2,A,93,no,"Estes Express Lines","12 Halls Rd, Kutztown, PA 19530, USA"
10.8,A,90,yes,"KABE Amazon Warehouse","1 Pump Pl, Allentown, PA 18102, USA"
12.0,A,90,yes,"KABE AMAZON FACILITY","2203 N Irving St, Allentown, PA 18109, USA"
12.3,A,85,no,"ALDI Distribution Center","2700 Saucon Valley Rd, Bethlehem, PA 18015, USA"
12.6,A,90,no,"Ikea Distribution Center","3000 Am Dr #200, Quakertown, PA 18951, USA"
12.6,A,90,no,"US Foods - Allentown Distribution Center","1200 Hoover Ave, Allentown, PA 18109, USA"
14.8,A,83,yes,"Kenco Logistics Services","150 Cesanek Rd, Northampton, PA 18067, USA"
15.5,A,95,yes,"FedEx Freight","360 Stoke Park Rd, Bethlehem, PA 18017, USA"
15.5,A,88,no,"Saia LTL Freight","350 Stoke Park Rd, Bethlehem, PA 18017, USA"
16.7,A,90,yes,"Walmart E-Commerce Distribution Center","2785 Commerce Center Blvd, Bethlehem, PA 18015, USA"
17.1,A,95,no,"GEODIS logistic.","4000 Township Line Rd, Bethlehem, PA 18020, USA"
17.1,A,90,yes,"Walmart Warehouse","3215 Commerce Center Blvd, Bethlehem, PA 18015, USA"
17.5,A,88,no,"ABF Freight","2527 Brodhead Rd, Bethlehem, PA 18020, USA"
17.5,A,73,yes,"Kimberly-Clark Distribution Center.","211 Logistics Dr, Shoemakersville, PA 19555, USA"
17.6,A,92,no,"Old Dominion Freight Line","2535 Brodhead Rd, Bethlehem, PA 18020, USA"
17.7,A,90,yes,"DAE1 - Amazon Logistics","2595 Brodhead Rd, Bethlehem, PA 18020, USA"
17.8,A,80,no,"Hershey's Weaver Popcorn Manufacturing","2600 Brodhead Rd, Bethlehem, PA 18020, USA"
18.2,A,88,no,"Americold Logistics Leesport","41 Orchard Ln, Leesport, PA 19533, USA"
18.4,A,85,no,"Kuehne + Nagel Inc.","4275 Fritch Dr, Bethlehem, PA 18020, USA"
19.4,A,90,no,"PPG Paints Distribution Center","2001R Centre Ave, Reading, PA 19605, USA"
19.8,A,90,yes,"Amazon Fulfillment Center","1098 Patriot Pkwy, Reading, PA 19605, USA"
22.5,A,80,no,"Walgreens Warehouse Distribution Center","3850 Prologis Pkwy, Easton, PA 18045, USA"
23.5,A,90,yes,"ABE4 Amazon Fulfillment Center","1610 Van Buren Rd, Easton, PA 18045, USA"
23.8,A,90,no,"R+L Carriers Norristown","3235 Penn Ave, Hatfield, PA 19440, USA"
23.9,A,90,no,"Home Depot Distribution Center","2630 Bergey Rd, Hatfield, PA 19440, USA"
24.1,A,88,no,"Americold Logistics Hatfield","2525 Bergey Rd, Hatfield, PA 19440, USA"
24.7,A,85,yes,"Amazon RDG1 Fulfillment Center","3563 Mountain Rd, Hamburg, PA 19526, USA"
25.9,A,78,no,"Weyerhaeuser Distribution Center","4225 East Braden Boulevard, Easton, PA 18040, USA"
26.8,A,88,no,"Flexport EWR1 Fulfillment Center","Rand Blvd, Phillipsburg, NJ 08865, USA"
32.4,A,84,yes,"Amazon Fulfillment Center HDC3","270 Midway Rd, Bethel, PA 19507, USA"
32.5,A,84,no,"Americold Logistics","8 Lee Blvd, Malvern, PA 19355, USA"
33.2,A,71,no,"Smurfit Westrock Hazleton Fold-Pak Plant","33 Powell Dr, Hazleton, PA 18201, USA"
34.6,A,86,yes,"AVP1 Amazon Fulfillment Center","550 Oak Ridge Rd, Hazle Township, PA 18202, USA"
36.1,A,81,no,"Dollar General Distribution Center","30 Martha Dr, Bethel, PA 19507, USA"
36.1,B,66,no,"AutoZone Distribution Center","402 Stoney Creek Rd, Hazle Township, PA 18202, USA"
