Rank,Company,Best Composite,Mean Composite,Tier,Sites,Proximity,Fit %,Density,Min Distance (mi),Nearest Primo Site,"City, State",Segment,Confidence
5533,Johnson's Warehouse Showroom-Fordyce,17.52,17.52,C,1,14,33.3,0,59.7,US DC Hot Springs (WHSE),"Fordyce, AR",shipper,medium
5534,Treasury Wine Estates - Sonoma Bottling Center,17.52,17.52,D,1,14,33.3,0,59.7,US PL Sacramento Factory,"Sonoma, CA",shipper,medium
5535,PaddleSports Warehouse Retail Store,17.49,17.49,C,1,14,33.3,0,59.8,US PL Mecosta Factory,"Scottville, MI",shipper,medium
5536,Partners Fulfillment Center,17.48,17.48,C,1,8,33.3,1,75.2,US PL Madison Factory,"Sturtevant, WI",3pl,medium
5537,"Pioneer Frozen Foods South Carolina, Inc.",17.45,17.45,D,1,8,33.3,1,75.4,US PL McBee Factory,"Prosperity, SC",shipper,low
5538,Williamsburg Packing Co,17.44,17.44,C,1,14,33.3,0,60,US PL McBee Factory,"Kingstree, SC",shipper,low
5539,Mullins Food Processing,17.42,17.42,D,1,13,33.3,0,60.1,US PL McBee Factory,"Mullins, SC",shipper,medium
5540,"Duvaltex (Us), Inc.",17.4,17.4,D,1,26,0,1,40.2,US PL Kingfield Factory,"Guilford, ME",shipper,low
5541,FREITTY Cross-Dock Fremont,17.32,17.32,D,1,8,33.3,1,76.3,US PL Sacramento Factory,"Fremont, CA",shipper,low
5542,MKE1 Fulfillment Center,17.31,17.31,C,1,8,33.3,1,76.4,US PL Madison Factory,"Kenosha, WI",3pl,medium
5543,Bishop Rd Truck Terminal,17.28,17.28,D,1,17,26.7,0,53.4,US PL Sacramento Factory,"Live Oak, CA",shipper,medium
5544,Growers Cold Storage,17.27,17.27,C,1,8,33.3,1,76.7,US PL Sacramento Factory,"San Francisco, CA",shipper,medium
5545,M&O Freezer and Cold Storage,17.24,17.24,C,1,8,33.3,1,76.9,US PL Allentown NPL Factory,"Vineland, NJ",shipper,medium
5546,"Warehousing, Storage & Fulfillment",17.24,9.74,C,2,8,33.3,1,76.9,US DC NFI - Breinigsville,"Wayne, NJ",3pl,medium
5547,Ultima Mobile Bottling Inc,17.22,17.22,C,1,13,33.3,0,60.9,US PL Sacramento Factory,"Sonoma, CA",shipper,medium
5548,Four-In-One Inc.,17.18,17.18,C,1,8,33.3,1,77.3,US PL Hollis Factory,"Chelmsford, MA",shipper,low
5549,Plated Fulfillment Center,17.17,17.17,C,1,8,33.3,1,77.4,US DC NFI - Breinigsville,"Totowa, NJ",3pl,medium
5550,El Almacen The Warehouse,17.17,17.17,C,1,5,37.3,1,87.6,US PL Hot Springs 2 Factory,"Searcy, AR",shipper,medium
5551,Prospect Cold Storage,17.15,17.15,C,1,13,33.3,0,61.2,US PL McBee Factory,"Maxton, NC",shipper,medium
5552,Macy's Bloomingdale's Fulfillment Center,17.11,17.11,C,1,7,33.3,1,77.8,US PL McBee Factory,"China Grove, NC",3pl,medium
5553,"Fish, Boat & Explore: Cross Creek Cabin w/ Dock!",17.07,17.07,D,1,31,0,0,35.1,US PL High Springs Factory,"Florida 32640, USA",shipper,low
5554,Storage Worx Crystal River,17.07,17.07,D,1,20,20,0,48.1,US PL Zephyrhills Factory,"Lecanto, FL",shipper,low
5555,The Whiskey Blendery,17.01,17.01,D,1,31,0,0,35.2,US PL Dallas 2 Factory,"Oak Point, TX",shipper,low
5556,Southern Manufacturing Company,17.01,17.01,D,1,11,26.7,1,66.4,US PL Zephyrhills Factory,"Sanford, FL",shipper,medium
5557,Pinconning Express Stop,16.94,16.94,C,1,13,33.3,0,62.1,US PL Mecosta Factory,"Pinconning, MI",shipper,low
5558,Cross Express/St. George,16.91,16.91,D,1,3,0,5,100.8,US PL Madison Factory,"Elk Grove Village, IL",shipper,low
5559,Brightwork Storage LLC,16.83,16.83,D,1,14,0,3,58.5,US PL Mecosta Factory,"Muskegon, MI",shipper,low
5560,Sister Bay Furniture Manufacturing Plant,16.82,16.82,D,1,16,26.7,0,54.9,US PL Madison Factory,"Sussex, WI",shipper,medium
5561,Marjorie Kinnan Rawlings Historic Park - Boat ramp/dock,16.79,16.79,D,1,31,0,0,35.6,US PL High Springs Factory,"Hawthorne, FL",shipper,low
5562,"Redhead Logistics Group, LLC",16.78,16.78,D,1,12,33.3,0,62.8,US PL Mecosta Factory,"Chesaning, MI",3pl,medium
5563,Ozarka Natural Spring Water Co,16.78,16.78,C,1,12,33.3,0,62.8,US PL S Houston Factory,"El Campo, TX",shipper,low
5564,Storett,16.77,16.77,D,1,14,0,3,58.7,US PL McBee Factory,"Fort Mill, SC",shipper,low
5565,Old Neighborhood Distribution Center,16.76,16.76,C,1,7,33.3,1,80.5,US PL Hollis Factory,"Lynn, MA",shipper,medium
5566,MIT Express Cross Dock and Warehouse,16.72,16.72,C,1,7,33.3,1,80.8,US DC NFI - Breinigsville,"Kearny, NJ",shipper,medium
5567,Patriot Foods,16.69,16.69,C,1,12,33.3,0,63.2,US PL Mecosta Factory,"West Olive, MI",shipper,low
5568,Trividia Manufacturing Solutions,16.68,16.65,C,2,10,26.7,1,68.1,US PL Poland Spring Factory,"Lancaster, NH",shipper,medium
5569,International Sulphur Inc,16.65,16.65,D,1,25,0,1,41.8,US PL Hawkins Factory,"Mt Pleasant, TX",shipper,low
5570,Golden Cold Storage,16.65,16.65,C,1,7,33.3,1,81.4,US DC NFI - Breinigsville,"Clifton, NJ",shipper,medium
5571,Roossinck Fruit Storage Inc,16.61,16.61,D,1,25,0,1,41.9,US PL Mecosta Factory,"Fremont, MI",shipper,low
5572,Columbia Ice & Cold Storage,16.6,16.6,C,1,12,33.3,0,63.6,US PL Saratoga Spring Factory,"Hudson, NY",shipper,medium
5573,ARCTICHILL Cold Storage,16.6,16.6,C,1,12,33.3,0,63.6,US PL Hollis Factory,"Windham, NH",shipper,medium
5574,Piedmont Cheerwine Bottling Co,16.6,15.92,D,2,7,33.3,1,70.6,US PL McBee Factory,"Salisbury, NC",shipper,medium
5575,Sultan Crossdock Storage and Restack,16.59,16.59,C,1,7,33.3,1,81.9,US DC NFI - Breinigsville,"Kearny, NJ",shipper,low
5576,"Frank-Lin Distillers Products, Ltd.",16.57,16.57,D,1,30,0,0,36,US PL Sacramento Factory,"Fairfield, CA",shipper,low
5577,Hartt Transportation System Inc,16.56,16.56,D,1,25,0,1,42,US PL McBee Factory,"Sumter, SC",shipper,low
