Rank,Company,Best Composite,Mean Composite,Tier,Sites,Proximity,Fit %,Density,Min Distance (mi),Nearest Primo Site,"City, State",Segment,Confidence
1,Kuehne + Nagel,99.82,90.82,A,3,100,100,5,0.1,US PL Ontario Factory,"Ontario, CA",3pl,medium
2,FedEx Drop Box,99.09,90.22,A,9,98,100,5,0.5,US PL Zephyrhills Factory,"Zephyrhills, FL",parcel,medium
3,PepsiCo Mt. Creek,98.73,98.73,A,1,98,100,5,0.7,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
4,DHL,98.55,98.55,A,1,97,100,5,0.8,US PL Allentown NPL Factory,"Mertztown, PA",shipper,medium
5,U.S. Meat Export Federation (USMEF),98.07,98.07,A,1,99,96,5,0.4,US PL Denver Factory,"Denver, CO",shipper,medium
6,FedEx SmartPost,98.02,98.02,A,1,96,100,5,1.1,US PL Sacramento Factory,"Sacramento, CA",parcel,medium
7,Western Export Services Inc,97.89,97.89,A,1,98,96,5,0.5,US PL Denver Factory,"Denver, CO",shipper,medium
8,"J.B. Hunt Transport Services, Inc.",97.84,81.54,A,7,96,100,5,1.2,US DC NFI - Breinigsville,"Breinigsville, PA",carrier,medium
9,Ryder Logistics,97.67,96.14,A,2,96,100,5,1.3,US PL Allentown NPL Factory,"Alburtis, PA",carrier,high
10,Penske Work,97.67,97.67,A,1,96,100,5,1.3,US PL Allentown NPL Factory,"Alburtis, PA",carrier,medium
11,FEDEX GROUND,97.67,81.19,A,10,96,100,5,1.3,US PL Sacramento Factory,"Sacramento, CA",parcel,medium
12,The Home Depot Pro Institutional,97.45,97.45,A,1,99,93.3,5,0.3,US PL Sacramento Factory,"Sacramento, CA",shipper,high
13,Flexport Denver,97.35,97.35,A,1,97,96,5,0.8,US PL Denver Factory,"Denver, CO",shipper,medium
14,Cardinal Health at Home Distribution Center,97.32,97.32,A,1,95,100,5,1.5,US PL Ontario Factory,"Ontario, CA",shipper,high
15,Target Grocery,97.27,97.27,A,1,99,93.3,5,0.4,US PL Denver Factory,"Denver, CO",shipper,medium
16,Coca-Cola Southwest Beverages,97.14,64.6,A,9,95,100,5,1.6,US PL S Houston Factory,"Houston, TX 77054, USA",shipper,high
17,Nestle Water,96.97,74.63,A,4,94,100,5,1.7,US PL Poland Spring Factory,"Poland, ME",shipper,medium
18,Walmart Business Center,96.91,96.91,A,1,98,93.3,5,0.6,US PL Hot Springs Factory,"Hot Springs Village, AR",shipper,medium
19,Fastenal Fulfillment Center,96.82,61.74,A,83,96,96,5,1.1,US PL Greenwood Indiana,"Greenwood, IN",3pl,high
20,Geodis Logistics,96.62,81.84,A,3,94,100,5,1.9,US DC NFI - Breinigsville,"Breinigsville, PA",3pl,high
21,Saddle Creek Logistics Services,96.47,72.09,A,6,99,90.7,5,0.4,US PL Ontario Factory,"Ontario, CA",3pl,high
22,Coca-Cola,96.45,51.98,A,17,94,100,5,2,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,medium
23,Frito-Lay Inc,95.94,78.49,A,5,93,100,5,2.3,US PL Dallas 2 Factory,"Dallas, TX",shipper,high
24,Home Depot warehouse,95.84,69.92,A,34,96,93.3,5,1.2,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,high
25,"Blue Eagle Logistics, Inc.",95.77,95.77,A,1,92,100,5,2.4,US DC NFI - Breinigsville,"Breinigsville, PA",3pl,high
26,Pepsi Co Inc,95.77,54.77,A,27,92,100,5,2.4,US PL Sacramento Factory,"Sacramento, CA",shipper,high
27,Scott's Auto Carrier Denver,95.67,95.67,A,1,96,93.3,5,1.3,US PL Denver Factory,"Denver, CO",shipper,medium
28,Pepsi off site,95.6,95.6,A,1,92,100,5,2.5,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
29,Bimbo Bakeries USA,95.6,89.88,A,2,92,100,5,2.5,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
30,Sysco To Go- Houston Medical Centre,95.6,95.6,A,1,92,100,5,2.5,US PL S Houston Factory,"Houston, TX",shipper,medium
31,Grainger Industrial Supply,95.6,95.6,A,1,92,100,5,2.5,US PL Madison Factory,"Madison, WI",shipper,medium
32,Amazon ABE3 Fulfillment Center,95.49,95.49,A,1,95,93.3,5,1.4,US DC NFI - Breinigsville,"Breinigsville, PA",3pl,high
33,Dsc Logistics,95.43,66.35,A,6,92,100,5,2.4,US PL Allentown Factory,"Breinigsville, PA",3pl,high
34,Target warehouse,95.43,67.53,A,19,92,100,5,1.6,US PL Allentown Factory,"Breinigsville, PA",shipper,high
35,Swire Coca-Cola USA,95.43,93.28,A,3,92,100,5,2.6,US PL Denver Factory,"Denver, CO",shipper,high
36,J.B. Hunt Transport - Dallas East Terminal,95.43,95.43,A,1,92,100,5,2.6,US PL Dallas 2 Factory,"Dallas, TX",carrier,high
37,Pepsi Cola,95.43,63.45,A,6,92,100,5,2.6,US PL Denver Factory,"Denver, CO",shipper,medium
38,KeHE Distributors-LHV,95.27,95.27,A,1,91,100,5,2.7,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,medium
39,BlueTriton Brands,95.27,73.07,A,6,91,100,5,1.2,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,medium
40,Swire Coca-Cola Driver Entrance,95.27,95.27,A,1,91,100,5,2.7,US PL Denver Factory,"Denver, CO",shipper,medium
41,Caterpillar Inc,95.14,95.14,A,1,95,93.3,5,1.6,US PL Ontario Factory,"Ontario, CA",shipper,medium
42,FedEx Supply Chain,95.1,95.1,A,1,91,100,5,2.8,US PL Greenwood Indiana,"Greenwood, IN",3pl,high
43,Nestle,95.1,88.36,A,2,91,100,5,2.8,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,high
44,Nestle Waters,95.1,89.76,A,3,91,100,5,1.4,US PL Greenwood Indiana,"Greenwood, IN",shipper,medium
45,Lineage,95.08,69.24,A,37,93,96,5,2.1,US PL Madison Factory,"McFarland, WI",3pl,medium
46,Hea2 Amazon,94.97,94.97,A,1,94,93.3,5,1.7,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,medium
47,DSC,94.93,75.31,A,2,91,100,5,2.9,US PL Allentown Factory,"Breinigsville, PA",shipper,medium
48,Coca-Cola Lehigh Valley Syrup,94.93,94.93,A,1,91,100,5,2.9,US DC NFI - Breinigsville,"Allentown, PA",shipper,medium
49,FedEx ShipSite,94.93,94.93,A,1,91,100,5,2.9,US DC Hot Springs (WHSE),"Hot Springs, AR",shipper,medium
50,Old Dominion Freight Line,94.91,59.88,A,46,93,96,5,2.2,US PL Dallas 2 Factory,"Dallas, TX",carrier,medium
51,Amazon fulfillment ABE2,94.8,94.8,A,1,94,93.3,5,1.8,US DC NFI - Breinigsville,"Breinigsville, PA",3pl,high
52,FedEx Freight,94.77,57.06,A,52,90,100,5,3,US PL Ontario Factory,"Jurupa Valley, CA",shipper,medium
53,Niagara,94.65,65.71,A,30,99,84,5,0.3,US PL Ontario Factory,"Ontario, CA",shipper,high
54,ABF Freight,94.52,57.66,A,31,95,90.7,5,1.5,US PL Madison Factory,"Madison, WI",carrier,medium
55,US Foods CHEF'STORE,94.44,94.44,A,1,90,100,5,3.2,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
56,Culinaire Foods,94.4,94.4,A,1,92,96,5,2.5,US PL Denver Factory,"Denver, CO",shipper,medium
57,Costco Distribution Depot,94.37,94.37,A,1,97,86.7,5,0.9,US PL Dallas 2 Factory,"Dallas, TX",shipper,high
58,Dollar General,94.37,60.51,A,10,97,86.7,5,0.9,US PL High Springs Factory,"High Springs, FL",shipper,medium
59,Cummins Regional Distribution Center - Dallas,94.28,94.28,A,1,93,93.3,5,2.1,US PL Dallas 2 Factory,"Dallas, TX",shipper,high
60,Aldi Distribution Center,94.2,66.59,A,5,97,86.7,5,1,US PL Greenwood Indiana,"Greenwood, IN",shipper,high
61,Coca-Cola Co Ontario Syrup,94.11,94.11,A,1,89,100,5,3.4,US PL Ontario Factory,"Ontario, CA",shipper,medium
62,Newell Logistics,93.94,93.94,A,1,95,89.3,5,1.6,US PL Zephyrhills Factory,"Zephyrhills, FL",3pl,high
63,Reyes Coca-Cola Bottling,93.78,58.87,A,9,89,100,5,3.6,US PL Ontario Factory,"Rancho Cucamonga, CA",shipper,high
64,Bridgestone Firestone Distribution Center,93.77,93.77,A,1,94,89.3,5,1.7,US PL Ontario Factory,"Ontario, CA",shipper,high
65,R+L Carriers,93.77,59.67,A,12,92,93.3,5,2.4,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
66,Crete Carrier Corporation,93.77,70.19,A,4,92,93.3,5,2.4,US DC NFI - Breinigsville,"Macungie, PA",shipper,medium
67,Ceva Freight,93.62,93.62,A,1,88,100,5,3.7,US PL Ontario Factory,"Ontario, CA",3pl,medium
68,Pepsi Beverages,93.62,61.97,A,9,88,100,5,3.7,US PL Poland Spring Factory,"Auburn, ME",shipper,medium
69,Amazon Counter - Ship A Latte (PUDO),93.6,81.29,A,2,92,93.3,5,2.5,US DC Hot Springs (WHSE),"Hot Springs, AR",shipper,medium
70,XPO,93.57,62.51,A,14,90,96,5,3,US DC NFI - Breinigsville,"Allentown, PA",carrier,medium
71,Procter & Gamble Co,93.49,93.49,A,1,95,86.7,5,1.4,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
72,P&G Chemicals,93.49,93.49,A,1,95,86.7,5,1.4,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
73,Geodis Allentown,93.46,93.46,A,1,88,100,5,3.8,US DC NFI - Breinigsville,"Allentown, PA",3pl,medium
74,FedEx Authorized ShipCenter,93.46,93.46,A,1,88,100,5,3.8,US PL Saratoga Spring Factory,"Ballston Spa, NY",parcel,medium
75,Next Carriers,93.43,93.43,A,1,92,93.3,5,2.6,US PL Greenwood Indiana,"Greenwood, IN",shipper,medium
76,Swift Transportation,93.4,67.72,A,7,90,96,5,3.1,US PL Ontario Factory,"Jurupa Valley, CA",carrier,high
77,"GEODIS | Contract Logistics",93.3,90.52,A,4,88,100,5,3.9,US PL Ontario Factory,"Ontario, CA",3pl,high
78,Frito-Lay Auburn PEC,93.3,93.3,A,1,88,100,5,3.9,US PL Poland Spring Factory,"Auburn, ME",shipper,medium
79,Keurig DrPepper,93.27,93.27,A,1,91,93.3,5,2.7,US DC NFI - Breinigsville,"Allentown, PA",shipper,medium
80,Bridgestone Americas Distribution Center,93.25,93.25,A,1,94,89.3,5,2,US DC NFI - Breinigsville,"Allentown, PA",shipper,high
81,BASF Warehouse,93.14,88.85,A,2,95,86.7,5,1.6,US PL S Houston Factory,"Houston, TX",shipper,medium
82,Owens & Minor - Houston Distribution Center,93.1,84.51,A,2,91,93.3,5,2.8,US DC NFI - Breinigsville,"Allentown, PA",shipper,high
83,Chewy Fulfillment Center DFW1,93.09,93.09,A,1,98,80,5,0.5,US PL Dallas 2 Factory,"Dallas, TX",3pl,high
84,Estes Express Lines,93.07,65.05,A,33,90,96,5,3.3,US PL Greenwood Indiana,"Greenwood, IN",carrier,medium
85,NFI,92.97,92.52,A,3,92,90.7,5,2.4,US DC NFI - Breinigsville,"Breinigsville, PA",3pl,medium
86,Amazon FC - IND 9 Hiring Center,92.93,92.93,A,1,91,93.3,5,2.9,US PL Greenwood Indiana,"Greenwood, IN",shipper,medium
87,Ceva Logistics,92.81,73.08,A,4,87,100,5,4.2,US PL Ontario Factory,"Mira Loma, CA",3pl,high
88,General Mills,92.81,92.81,A,1,87,100,5,4.2,US PL Ontario Factory,"Mira Loma, CA",shipper,medium
89,Staples Fulfilment Center,92.8,50.8,A,11,94,86.7,5,1.7,US PL Ontario Factory,"Ontario, CA",3pl,high
90,Walmart,92.77,59.58,A,38,90,93.3,5,3,US PL Ontario Factory,"Jurupa Valley, CA",shipper,high
91,Amazon,92.77,64.6,A,31,90,93.3,5,3,US PL Greenwood Indiana,"Greenwood, IN",shipper,medium
92,Greenfield Manufacturing Co,92.63,70.83,A,2,92,90.7,5,2.6,US PL Saratoga Spring Factory,"Saratoga Springs, NY",shipper,high
93,A&M LOGISTICS INC,92.62,92.62,A,1,94,86.7,5,1.9,US PL Ontario Factory,"Ontario, CA",3pl,high
94,LPM manufacturing,92.62,92.62,A,1,94,86.7,5,1.9,US PL Ontario Factory,"Ontario, CA",shipper,high
95,PepsiCo,92.5,81.21,A,4,86,100,5,4.4,US PL Denver Factory,"Denver, CO",shipper,medium
96,King Soopers/Kroger Tejon Street Distribution Center,92.45,92.45,A,1,94,86.7,5,2,US PL Denver Factory,"Denver, CO",shipper,high
97,Panera Bread Warehouse,92.45,92.45,A,1,94,86.7,5,2,US PL Ontario Factory,"Ontario, CA",shipper,high
98,Amazon Fulfillment Center IND9,92.44,92.44,A,1,90,93.3,5,3.2,US PL Greenwood Indiana,"Greenwood, IN",3pl,high
99,Exel/Owens Corning Warehouse,92.28,92.28,A,1,93,86.7,5,2.1,US PL Dallas 2 Factory,"Dallas, TX",shipper,high
100,Ball Metal Beverage Container,92.28,92.28,A,1,93,86.7,5,2.1,US PL Saratoga Spring Factory,"Saratoga Springs, NY",shipper,medium
101,Dupont Industrial Center,92.28,92.28,A,1,93,86.7,5,2.1,US PL Ontario Factory,"Ontario, CA",shipper,medium
102,Earnest Machine,92.27,92.27,A,1,90,93.3,5,3.3,US PL Greenwood Indiana,"Greenwood, IN",shipper,medium
103,Tractor Supply Co.,92.02,60.24,A,5,96,80,5,1.1,US PL High Springs Factory,"High Springs, FL",shipper,medium
104,DHL Warehouse Verizon,92.02,92.02,A,1,85,100,5,4.7,US PL Greenwood Indiana,"Whiteland, IN",shipper,high
105,Uline Shipping Supplies - X1,91.94,91.94,A,1,95,82.7,5,1.6,US PL Allentown NPL Factory,"Alburtis, PA",shipper,medium
106,Amazon Fulfillment Center Tours - FTW6,91.94,56.27,A,11,89,93.3,5,3.5,US PL Ontario Factory,"Eastvale, CA",3pl,high
107,Coca-Cola Fontana Warehouse,91.87,91.87,A,1,85,100,5,4.8,US PL Ontario Factory,"Fontana, CA",shipper,high
108,Home Depot FDC Flatbed Distribution Center 5824,91.78,91.78,A,1,89,93.3,5,3.6,US PL Dallas 2 Factory,"Dallas, TX",shipper,high
109,Danone North America,91.77,69.04,A,2,94,82.7,5,1.7,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
110,Amazon Distribution DCA2,91.46,91.46,A,1,88,93.3,5,3.8,US PL Ontario Factory,"Eastvale, CA",shipper,high
111,AMAZON PRIME NOW (UCO1),91.46,91.46,A,1,88,93.3,5,3.8,US PL Denver Factory,"Denver, CO",shipper,medium
112,Estes Logistics,91.46,91.46,A,1,87,96,5,4.3,US PL Ontario Factory,"Rancho Cucamonga, CA",carrier,high
113,ONT1 Amazon Sort Center,91.3,91.3,A,1,88,93.3,5,3.9,US PL Ontario Factory,"Mira Loma, CA",shipper,medium
114,Sellery Amazon Hub,91.3,91.3,A,1,88,93.3,5,3.9,US PL Madison Factory,"Madison, WI",parcel,medium
115,Best Buy Warehouse Ontario,91.27,91.27,A,1,91,86.7,5,2.7,US PL Ontario Factory,"Ontario, CA",shipper,high
116,Amcor Rigid Plastics,91.27,90.88,A,3,91,86.7,5,2.7,US DC NFI - Breinigsville,"Allentown, PA",shipper,medium
117,Schneider cross dock,91.14,91.14,A,1,86,96,5,4.5,US PL Ontario Factory,"Rancho Cucamonga, CA",carrier,medium
118,CNO5 Amazon Sort Center,91.13,91.13,A,1,88,93.3,5,4,US PL Ontario Factory,"Chino, CA",shipper,medium
119,SBD5 Amazon,91.13,91.13,A,1,88,93.3,5,4,US PL Ontario Factory,"Mira Loma, CA",shipper,medium
120,Best Buy Warehouse,91.1,75.43,A,7,91,86.7,5,2.8,US PL Ontario Factory,"Ontario, CA",shipper,high
121,Packaging Corporation of America,91.08,54.09,A,25,93,82.7,5,2.1,US DC NFI - Breinigsville,"Allentown, PA",shipper,medium
122,Americold Logistics Ontario 5401,90.98,90.98,A,1,89,90.7,5,3.6,US PL Ontario Factory,"Ontario, CA",3pl,high
123,PENSKE WAREHOUSE,90.94,90.94,A,1,84,100,5,5.4,US PL S Houston Factory,"Houston, TX",carrier,high
124,Kroger,90.93,76.59,A,7,91,86.7,5,2.9,US PL Greenwood Indiana,"Greenwood, IN",shipper,medium
125,Shamrock Foodservice Warehouse Denver,90.91,90.91,A,1,93,82.7,5,2.2,US PL Denver Factory,"Denver, CO",shipper,high
126,Americold Logistics Ontario CA,90.82,90.82,A,1,88,90.7,5,3.7,US PL Ontario Factory,"Ontario, CA",3pl,high
127,Wakefern Foods,90.8,90.8,A,1,94,80,5,1.8,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,medium
128,Amazon STX4,90.66,90.66,A,1,87,93.3,5,4.3,US PL Pasadena Factory,"Pasadena, TX",shipper,medium
129,GEODIS,90.63,81.38,A,4,83,100,5,5.6,US PL Dallas 2 Factory,"Dallas, TX",3pl,medium
130,"Skuasco Global Logistics, DHL Express, FedEx",90.48,90.48,A,1,83,100,5,5.7,US PL Sacramento Factory,"Sacramento, CA",3pl,high
131,Coca-Cola Parts,90.48,90.48,A,1,83,100,5,5.7,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
132,Amazon DHX1,90.34,90.34,A,1,86,93.3,5,4.5,US PL S Houston Factory,"Houston, TX",shipper,medium
133,Americold Logistics,90.33,54.16,A,16,88,90.7,5,4,US DC NFI - Breinigsville,"Allentown, PA",3pl,high
134,Americold Logistics Allentown - Ambassador,90.33,90.33,A,1,88,90.7,5,4,US DC NFI - Breinigsville,"Allentown, PA",3pl,high
135,Red Bull,90.27,84.01,A,2,90,86.7,5,3.3,US DC NFI - Breinigsville,"Allentown, PA",shipper,medium
136,Bimbo Bakeries-Sara Lee Distribution Center,90.18,90.18,A,1,82,100,5,5.9,US PL Denver Factory,"Commerce City, CO",shipper,high
137,Kimberly Clark,90.11,77.95,A,2,89,86.7,5,3.4,US PL Ontario Factory,"Ontario, CA",shipper,medium
138,Procter & Gamble Tambrands,90.11,90.11,A,1,89,86.7,5,3.4,US PL Poland Spring Factory,"Auburn, ME",shipper,medium
139,Sysco,90.03,80.07,A,3,82,100,5,6,US PL High Springs Factory,"Alachua, FL",shipper,medium
140,MQJ2 - Amazon,89.87,89.87,A,1,85,93.3,5,4.8,US PL Greenwood Indiana,"Whiteland, IN",shipper,medium
141,DDE6 - Amazon,89.87,89.87,A,1,85,93.3,5,4.8,US PL Denver Factory,"Denver, CO",shipper,medium
142,EIKZ Amazon,89.87,89.87,A,1,85,93.3,5,4.8,US PL Denver Factory,"Denver, CO",shipper,medium
143,SCO1 Amazon,89.87,89.87,A,1,85,93.3,5,4.8,US PL Denver Factory,"Denver, CO",shipper,medium
144,Costco Distribution Center,89.78,80.94,A,2,89,86.7,5,3.6,US PL Ontario Factory,"Mira Loma, CA",shipper,high
145,WestRock,89.78,80.24,A,2,89,86.7,5,3.6,US PL Ontario Factory,"Ontario, CA",shipper,medium
146,Target Denver Sortation Center,89.71,89.71,A,1,85,93.3,5,4.9,US PL Denver Factory,"Denver, CO",parcel,high
147,Amazon DAL3,89.71,89.71,A,1,85,93.3,5,4.9,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
148,SYSCO-ALACHUA FL,89.58,89.58,A,1,81,100,5,6.3,US PL High Springs Factory,"Alachua, FL",shipper,medium
149,Exchange Logistics,89.38,89.38,A,1,86,90.7,5,4.6,US PL Dallas 2 Factory,"Dallas, TX",3pl,high
150,Holiday Homes Transporting Llc,89.22,89.22,A,1,85,90.7,5,4.7,US PL Saratoga Spring Factory,"Ballston Spa, NY",shipper,medium
151,Airport Costco Depot,89.13,89.13,A,1,88,86.7,5,4,US PL Ontario Factory,"Ontario, CA",shipper,high
152,AutoZone Distribution,89.1,60.43,A,4,91,80,5,2.8,US PL Ontario Factory,"Ontario, CA",shipper,high
153,Amazon STX3,89.09,89.09,A,1,84,93.3,5,5.3,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
154,Sysco Denver - Food Distributor & Restaurant Supplies,88.99,88.99,A,1,80,100,5,6.7,US PL Denver Factory,"Denver, CO",shipper,medium
155,DSV Silutions Shell warehouse Panalpina,88.85,88.85,A,1,80,100,5,6.8,US PL Pasadena Factory,"Pasadena, TX",3pl,high
156,Allen Distribution Frito lay/ Niagara Bottling,88.82,88.82,A,1,88,84,5,3.7,US DC NFI - Breinigsville,"Allentown, PA",shipper,high
157,Ocean Spray,88.8,88.8,A,1,92,77.3,5,2.5,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,medium
158,Coca Cola Chino Warehouse,88.7,88.7,A,1,79,100,5,6.9,US PL Ontario Factory,"Chino, CA",shipper,high
159,Infinix 12,88.52,88.52,A,1,95,90.7,3,1.5,US PL Hawkins Factory,"Hawkins, TX 75765, USA",shipper,medium
160,International Paper,88.5,62.48,A,10,86,86.7,5,4.4,US PL Poland Spring Factory,"Auburn, ME",shipper,medium
161,Amcor Flexibles Madison,88.5,88.5,A,1,86,86.7,5,4.4,US PL Madison Factory,"Madison, WI",shipper,medium
162,Target Distribution Center T3774,88.48,88.48,A,1,83,93.3,5,5.7,US PL S Houston Factory,"Houston, TX",shipper,high
163,Walmart Fullfillment Center,88.48,88.48,A,1,83,93.3,5,5.7,US PL Ontario Factory,"Chino, CA",shipper,medium
164,Smurfit Westrock Denver Container Plant,88.18,88.18,A,1,86,86.7,5,4.6,US PL Denver Factory,"Denver, CO",shipper,high
165,Walmart Fulfillment Center-LAX2,88.03,88.03,A,1,82,93.3,5,6,US PL Ontario Factory,"Chino, CA",3pl,high
166,AMAZON WAREHOUSE DHT2,88.03,88.03,A,1,82,93.3,5,6,US PL Pasadena Factory,"League City, TX",shipper,high
167,Twin Leaf Farms,87.99,87.99,A,1,83,90.7,5,5.5,US PL Saratoga Spring Factory,"Greenfield Center, NY",shipper,medium
168,Shorr Packaging Corp,87.93,76.22,A,3,88,82.7,5,4,US PL Ontario Factory,"Ontario, CA",shipper,medium
169,Red Bull Indianapolis,87.87,87.87,A,1,85,86.7,5,4.8,US PL Greenwood Indiana,"Indianapolis, IN",shipper,medium
170,UTZ Quality Foods Inc,87.8,87.8,A,1,90,77.3,5,3.1,US DC NFI - Breinigsville,"Allentown, PA",shipper,medium
171,Stearns Packaging Warehouse,87.77,80.45,A,2,87,82.7,5,4,US PL Madison Factory,"Madison, WI",shipper,medium
172,Kenco Logistics,87.54,63.97,A,2,86,84,5,4.5,US DC NFI - Breinigsville,"Allentown, PA",3pl,high
173,Xpo Logistics,87.5,87.5,A,1,79,96,5,6.9,US PL Pasadena Factory,"Pasadena, TX",carrier,high
174,Penske Logistics,87.41,80.12,A,3,77,100,5,7.8,US PL Dallas 2 Factory,"Grand Prairie, TX",carrier,high
175,Superior Carriers Inc,86.85,86.85,A,1,80,93.3,5,6.8,US PL Pasadena Factory,"Pasadena, TX",shipper,medium
176,Baxter Brewing Co.,86.7,86.7,A,1,79,93.3,5,6.9,US PL Poland Spring Factory,"Lewiston, ME",shipper,medium
177,Saia LTL Freight,86.63,60.26,A,29,81,90.7,5,6.4,US PL Ontario Factory,"Fontana, CA",carrier,medium
178,Smurfit Westrock Houston Sheet Plant,86.48,86.48,A,1,83,86.7,5,5.7,US PL S Houston Factory,"Houston, TX",shipper,high
179,Kenco Logistic Services,86.14,73.29,A,2,84,84,5,5.4,US PL Allentown Factory,"Kutztown, PA",3pl,medium
180,Amazon DHO2,86.12,86.12,A,1,78,93.3,5,7.3,US PL S Houston Factory,"Houston, TX",shipper,medium
181,Amazon Fulfillment Center MKE3,85.98,85.98,A,1,78,93.3,5,7.4,US PL Madison Factory,"Sun Prairie, WI",3pl,high
182,Pepsi Beverages Co. Tyler tx,85.88,85.88,A,1,74,100,5,8.9,US PL Hawkins Factory,"Tyler, TX",shipper,medium
183,Ben E Keith Foods,85.74,85.74,A,1,84,82.7,5,5.4,US PL High Springs Factory,"Alachua, FL",shipper,medium
184,Kwik Trip Distribution Center-DeForest,85.47,85.47,A,1,74,100,5,9.2,US PL Madison Factory,"Windsor, WI",shipper,high
185,MHC Kenworth - Denver,85.4,85.4,A,1,84,80,5,5.1,US PL Denver Factory,"Denver, CO",shipper,medium
186,Procter & Gamble Offsite Warehouse,84.85,84.85,A,1,80,86.7,5,6.8,US PL Dallas 2 Factory,"Dallas, TX",shipper,high
187,T553 Target Distribution Center,84.71,84.71,A,1,76,93.3,5,8.3,US PL Ontario Factory,"Fontana, CA",shipper,high
188,Landmark Express,84.71,84.71,A,1,76,93.3,5,8.3,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
189,BASF Palmer Logistics,84.7,84.7,A,1,79,86.7,5,6.9,US PL Pasadena Factory,"Pasadena, TX",3pl,high
190,Smurfit Kappa Fort Worth Packaging Solutions,84.7,84.7,A,1,79,86.7,5,6.9,US PL Dallas 2 Factory,"Arlington, TX",shipper,medium
191,DHL Supply Chain / Warehouse,84.67,84.67,A,1,72,100,5,9.8,US PL Greenwood Indiana,"Franklin, IN",3pl,high
192,Greenfields Greatest Food Co Home of Sundaes Best Hot Fudge Sauce,84.61,84.61,A,1,77,90.7,5,7.8,US PL Saratoga Spring Factory,"Gansevoort, NY",shipper,medium
193,Onvo,84.6,49.77,A,3,84,77.3,5,5.1,US PL Allentown Factory,"Kutztown, PA",shipper,medium
194,Amazon LAX9,84.57,84.57,A,1,76,93.3,5,8.4,US PL Ontario Factory,"Fontana, CA",shipper,medium
195,Walgreens Micro Fulfillment Center,84.18,80.55,A,2,82,80,5,5.9,US DC NFI - Breinigsville,"Allentown, PA",3pl,high
196,PPG Industries Inc,84.15,71.81,A,2,75,93.3,5,8.7,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
197,Amazon MCC1,84.02,84.02,A,1,75,93.3,5,8.8,US PL Sacramento Factory,"Rancho Cordova, CA",shipper,medium
198,"MSI Express, Inc.",83.88,83.88,A,1,74,93.3,5,8.9,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
199,Advance Auto Parts Distribution Center Kutztown,83.83,83.83,A,1,83,77.3,5,5.6,US PL Allentown Factory,"Kutztown, PA",shipper,high
200,DSR4 Amazon,83.75,83.75,A,1,74,93.3,5,9,US PL Sacramento Factory,"Elk Grove, CA",shipper,medium
201,CORNERSTONE ORGANIC FEED LLC,83.68,83.68,A,1,83,77.3,5,5.7,US PL Allentown Factory,"Kutztown, PA",shipper,medium
202,Tyson Foods,83.5,67.08,A,6,70,100,5,10.7,US PL Greenwood Indiana,"Indianapolis, IN",shipper,high
203,WTY1 Amazon Last Mile Warehouse,83.47,83.47,A,1,74,93.3,5,9.2,US PL Hawkins Factory,"Tyler, TX",parcel,high
204,O'Reilly Auto Parts Distribution Center,83.41,73.62,A,4,77,86.7,5,7.8,US PL S Houston Factory,"Houston, TX",shipper,high
205,MARS PETCARE WAREHOUSE,83.07,83.07,A,1,73,93.3,5,9.5,US PL Dallas 2 Factory,"Lancaster, TX",shipper,high
206,Frito-Lay Saco,82.86,82.86,A,1,69,100,5,11.2,US PL Hollis Factory,"Saco, ME",shipper,medium
207,Three Story Coca Cola Cup,82.86,82.86,A,1,69,100,5,11.2,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
208,Americold Logistics Indianapolis,82.81,82.81,A,1,74,90.7,5,9.1,US PL Greenwood Indiana,"Indianapolis, IN",3pl,high
209,Saia Logistics,82.81,82.81,A,1,74,90.7,5,9.1,US PL Dallas 2 Factory,"Lancaster, TX",carrier,high
210,Amcor plastic,82.71,82.71,A,1,76,86.7,5,8.3,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
211,Superior Bathhouse Brewery,82.55,82.55,B,1,97,46.7,5,0.8,US DC Hot Springs (WHSE),"Hot Springs National Park, AR",shipper,low
