Rank,Composite,Proximity,Fit %,Density,Distance (mi),Nearest Primo Site,Tier,Segment,Confidence,Name,Account,"City, State",Vertical,Enterprise,Network,Corridor,Address
1,99.82,100,100,5,0.1,US PL Ontario Factory,A,3pl,medium,Kuehne + Nagel Inc.,,"Ontario, CA",25,25,25,"Ontario, CA","2095 S Archibald Ave, Ontario, CA 91761, USA"
2,99.09,98,100,5,0.5,US PL Zephyrhills Factory,A,parcel,medium,FedEx Drop Box,fedex,"Zephyrhills, FL",25,25,25,"Tampa, FL","6240 Gall Blvd, Zephyrhills, FL 33542, USA"
3,98.91,98,100,5,0.6,US PL Madison Factory,A,parcel,medium,FedEx Drop Box,fedex,"Madison, WI",25,25,25,"Madison, WI","100 River Pl, Madison, WI 53716, USA"
4,98.73,98,100,5,0.7,US PL Dallas 2 Factory,A,shipper,medium,PepsiCo Mt. Creek,,"Dallas, TX",25,25,25,"Dallas, TX","3636 Mountain Creek Pkwy, Dallas, TX 75236, USA"
5,98.55,97,100,5,0.8,US PL Allentown NPL Factory,A,shipper,medium,DHL,dhl-supply-chain,"Mertztown, PA",25,25,25,"Allentown, PA","8801 Congdon Hill Dr, Mertztown, PA 19539, USA"
6,98.55,97,100,5,0.8,US PL Saratoga Spring Factory,A,parcel,medium,FedEx Drop Box,fedex,"Saratoga Springs, NY",25,25,25,"Saratoga Springs, NY","60 Railroad Pl, Saratoga Springs, NY 12866, USA"
7,98.37,97,100,5,0.9,US PL High Springs Factory,A,parcel,medium,FedEx Drop Box,fedex,"High Springs, FL",25,25,25,"Jacksonville, FL","600 NE Santa Fe Blvd, High Springs, FL 32643, USA"
8,98.07,99,96,5,0.4,US PL Denver Factory,A,shipper,medium,U.S. Meat Export Federation (USMEF),,"Denver, CO",25,22,25,"Denver, CO","Lincoln Center, 1660 Lincoln St #2800, Denver, CO 80264, USA"
9,98.02,96,100,5,1.1,US PL Sacramento Factory,A,parcel,medium,FedEx SmartPost,fedex,"Sacramento, CA",25,25,25,"Sacramento, CA","8371 Rovana Cir STE 300, Sacramento, CA 95828, USA"
10,97.89,98,96,5,0.5,US PL Denver Factory,A,shipper,medium,Western Export Services Inc,,"Denver, CO",25,22,25,"Denver, CO","1011, 140 E 19th Ave #500, Denver, CO 80203, USA"
11,97.84,96,100,5,1.2,US DC NFI - Breinigsville,A,carrier,medium,"J.B. Hunt Transport Services, Inc.",,"Breinigsville, PA",25,25,25,"Allentown, PA","8500 Willard Dr, Breinigsville, PA 18031, USA"
12,97.84,96,100,5,1.2,US PL Saratoga Spring Factory,A,parcel,medium,FedEx Drop Box,fedex,"Saratoga Springs, NY",25,25,25,"Saratoga Springs, NY","68 West Ave, Saratoga Springs, NY 12866, USA"
13,97.67,96,100,5,1.3,US PL Allentown NPL Factory,A,carrier,high,Ryder Logistics,,"Alburtis, PA",25,25,25,"Allentown, PA","8620 Congdon Hill Dr, Alburtis, PA 18011, USA"
14,97.67,96,100,5,1.3,US PL Allentown NPL Factory,A,3pl,medium,Kuehne + Nagel,,"Alburtis, PA",25,25,25,"Allentown, PA","8620 Congdon Hill Dr, Alburtis, PA 18011, USA"
15,97.67,96,100,5,1.3,US PL Allentown NPL Factory,A,carrier,medium,Penske Work,,"Alburtis, PA",25,25,25,"Allentown, PA","8783 Congdon Hill Dr, Alburtis, PA 18011, USA"
16,97.67,96,100,5,1.3,US PL Sacramento Factory,A,parcel,medium,FEDEX GROUND,fedex,"Sacramento, CA",25,25,25,"Sacramento, CA","8200 Elder Creek Rd, Sacramento, CA 95824, USA"
17,97.49,95,100,5,1.4,US DC NFI - Breinigsville,A,parcel,medium,FEDEX GROUND,fedex,"Breinigsville, PA",25,25,25,"Allentown, PA","8451 Willard Dr, Breinigsville, PA 18031, USA"
18,97.45,99,93.3,5,0.3,US PL Sacramento Factory,A,shipper,high,The Home Depot Pro Institutional,the-home-depot,"Sacramento, CA",20,25,25,"Sacramento, CA","5961 Outfall Cir, Sacramento, CA 95828, USA"
19,97.35,97,96,5,0.8,US PL Denver Factory,A,shipper,medium,Flexport Denver,,"Denver, CO",25,22,25,"Denver, CO","1675 Larimer St #610, Denver, CO 80202, USA"
20,97.32,95,100,5,1.5,US PL Ontario Factory,A,shipper,high,Cardinal Health at Home Distribution Center,,"Ontario, CA",25,25,25,"Ontario, CA","3980 Earlstone St, Ontario, CA 91761, USA"
21,97.27,99,93.3,5,0.4,US PL Denver Factory,A,shipper,medium,Target Grocery,target,"Denver, CO",20,25,25,"Denver, CO","1600 California St Suite 14, Denver, CO 80202, USA"
22,97.14,95,100,5,1.6,US PL S Houston Factory,A,shipper,high,Coca Cola SouthWest Beverages Distribution Center,coca-cola,"Houston, TX 77054, USA",25,25,25,"Houston, TX","Houston, TX 77054, USA"
23,97.14,95,100,5,1.6,US PL Dallas 2 Factory,A,carrier,medium,"J.B. Hunt Transport Services, Inc.",,"Dallas, TX",25,25,25,"Dallas, TX","5701 W Kiest Blvd, Dallas, TX 75211, USA"
24,96.97,94,100,5,1.7,US PL Poland Spring Factory,A,shipper,medium,Nestle Water North America,nestle-usa,"Poland, ME",25,25,25,"Auburn, ME","109 Poland Spring Dr, Poland, ME 04274, USA"
25,96.91,98,93.3,5,0.6,US PL Hot Springs Factory,A,shipper,medium,Walmart Business Center,walmart,"Hot Springs Village, AR",20,25,25,"Little Rock, AR","3604 N Hwy 7, Hot Springs Village, AR 71909, USA"
26,96.82,96,96,5,1.1,US PL Greenwood Indiana,A,3pl,high,Fastenal Fulfillment Center,,"Greenwood, IN",25,22,25,"Indianapolis, IN","11 Declaration Dr Suite Q, Greenwood, IN 46143, USA"
27,96.62,94,100,5,1.9,US DC NFI - Breinigsville,A,3pl,high,Geodis Logistics,,"Breinigsville, PA",25,25,25,"Allentown, PA","651 Boulder Dr #100, Breinigsville, PA 18031, USA"
28,96.47,99,90.7,5,0.4,US PL Ontario Factory,A,3pl,high,Saddle Creek Logistics Services,,"Ontario, CA",25,18,25,"Ontario, CA","2521 E Francis St, Ontario, CA 91761, USA"
29,96.45,94,100,5,2,US DC NFI - Breinigsville,A,shipper,medium,Coca-Cola,coca-cola,"Breinigsville, PA",25,25,25,"Allentown, PA","400 Boulder Dr, Breinigsville, PA 18031, USA"
30,95.94,93,100,5,2.3,US PL Dallas 2 Factory,A,shipper,high,Frito-Lay - Dallas-Fort Worth Warehouse,frito-lay,"Dallas, TX",25,25,25,"Dallas, TX","3548 Duncanville Rd, Dallas, TX 75236, USA"
31,95.84,96,93.3,5,1.2,US DC NFI - Breinigsville,A,shipper,high,The Home Depot Distribution Center,the-home-depot,"Breinigsville, PA",20,25,25,"Allentown, PA","8500 Willard Dr, Breinigsville, PA 18031, USA"
32,95.77,92,100,5,2.4,US DC NFI - Breinigsville,A,3pl,high,"Blue Eagle Logistics, Inc.",,"Breinigsville, PA",25,25,25,"Allentown, PA","155 Nestle Way, Breinigsville, PA 18031, USA"
33,95.77,92,100,5,2.4,US PL Sacramento Factory,A,shipper,high,Pepsi Bottling Group,,"Sacramento, CA",25,25,25,"Sacramento, CA","7550 Reese Rd #1, Sacramento, CA 95828, USA"
34,95.67,96,93.3,5,1.3,US PL Denver Factory,A,shipper,medium,Scott's Auto Carrier Denver,,"Denver, CO",20,25,25,"Denver, CO","1959 Wewatta St #607, Denver, CO 80202, USA"
35,95.6,92,100,5,2.5,US PL Sacramento Factory,A,shipper,medium,Pepsi off site,,"Sacramento, CA",25,25,25,"Sacramento, CA","8372 Tiogawoods Dr, Sacramento, CA 95828, USA"
36,95.6,92,100,5,2.5,US PL Sacramento Factory,A,shipper,medium,Bimbo Bakeries USA,,"Sacramento, CA",25,25,25,"Sacramento, CA","7601 Wilbur Way, Sacramento, CA 95828, USA"
37,95.6,92,100,5,2.5,US PL S Houston Factory,A,shipper,medium,Sysco To Go- Houston Medical Centre,,"Houston, TX",25,25,25,"Houston, TX","1212 Old Spanish Trl, Houston, TX 77054, USA"
38,95.6,92,100,5,2.5,US PL Madison Factory,A,shipper,medium,Grainger Industrial Supply,,"Madison, WI",25,25,25,"Madison, WI","501 Atlas Ave, Madison, WI 53714, USA"
39,95.6,92,100,5,2.5,US DC Hot Springs (WHSE),A,parcel,medium,FedEx Drop Box,fedex,"Hot Springs, AR",25,25,25,"Little Rock, AR","National Park, 300 Werner St, Hot Springs, AR 71913, USA"
40,95.49,95,93.3,5,1.4,US DC NFI - Breinigsville,A,3pl,high,Amazon ABE3 Fulfillment Center,amazon,"Breinigsville, PA",20,25,25,"Allentown, PA","650 Boulder Dr, Breinigsville, PA 18031, USA"
41,95.43,92,100,5,2.6,US PL Allentown Factory,A,3pl,high,DSC Logistics Inc,cj-logistics-america,"Breinigsville, PA",25,25,25,"Allentown, PA","400 Nestle Way, Breinigsville, PA 18031, USA"
42,95.43,92,100,5,2.6,US PL Allentown Factory,A,shipper,high,Target Distribution,target,"Breinigsville, PA",25,25,25,"Allentown, PA","910 Nestle Way, Breinigsville, PA 18031, USA"
43,95.43,92,100,5,2.6,US PL Denver Factory,A,shipper,high,Pepsi Bottling Company,,"Denver, CO",25,25,25,"Denver, CO","3801 Brighton Blvd, Denver, CO 80216, USA"
44,95.43,92,100,5,2.6,US PL Denver Factory,A,shipper,high,"Swire Coca-Cola, USA Production Plant",coca-cola,"Denver, CO",25,25,25,"Denver, CO","2145 E 40th Ave, Denver, CO 80205, USA"
45,95.43,92,100,5,2.6,US PL Dallas 2 Factory,A,carrier,high,J.B. Hunt Transport - Dallas East Terminal,,"Dallas, TX",25,25,25,"Dallas, TX","3141 S Walton Walker Blvd, Dallas, TX 75211, USA"
46,95.43,92,100,5,2.6,US PL Denver Factory,A,shipper,medium,Pepsi Cola,,"Denver, CO",25,25,25,"Denver, CO","3888 Arkins Ct, Denver, CO 80216, USA"
47,95.43,92,100,5,2.6,US PL Madison Factory,A,shipper,medium,Frito-Lay Inc,frito-lay,"Madison, WI",25,25,25,"Madison, WI","4484 Robertson Rd, Madison, WI 53714, USA"
48,95.27,91,100,5,2.7,US DC NFI - Breinigsville,A,shipper,medium,Nestle Water,nestle-usa,"Breinigsville, PA",25,25,25,"Allentown, PA","305 Nestle Way, Breinigsville, PA 18031, USA"
49,95.27,91,100,5,2.7,US DC NFI - Breinigsville,A,shipper,medium,KeHE Distributors-LHV,,"Breinigsville, PA",25,25,25,"Allentown, PA","860 Nestle Way, Breinigsville, PA 18031, USA"
50,95.27,91,100,5,2.7,US DC NFI - Breinigsville,A,shipper,medium,BlueTriton Brands - Deer Park,,"Breinigsville, PA",25,25,25,"Allentown, PA","405 Nestle Way, Breinigsville, PA 18031, USA"
51,95.27,91,100,5,2.7,US PL Denver Factory,A,shipper,medium,"Swire Coca-Cola, USA - MAILING ADDRESS ONLY",coca-cola,"Denver, CO",25,25,25,"Denver, CO","3825 York St, Denver, CO 80205, USA"
52,95.27,91,100,5,2.7,US PL Denver Factory,A,shipper,medium,Swire Coca-Cola Driver Entrance,coca-cola,"Denver, CO",25,25,25,"Denver, CO","TRUCK GATE, 2145 E 40th Ave, Denver, CO 80205, USA"
53,95.14,95,93.3,5,1.6,US PL Ontario Factory,A,shipper,high,Target Distribution Center,target,"Ontario, CA",20,25,25,"Ontario, CA","1505 S Haven Ave, Ontario, CA 91761, USA"
54,95.14,95,93.3,5,1.6,US PL Ontario Factory,A,shipper,medium,Caterpillar Inc,caterpillar,"Ontario, CA",20,25,25,"Ontario, CA","Francis Industrial park, 1496 E Locust St, Ontario, CA 91761, USA"
55,95.1,91,100,5,2.8,US PL Greenwood Indiana,A,3pl,high,FedEx Supply Chain,fedex,"Greenwood, IN",25,25,25,"Indianapolis, IN","700 Commerce Parkway West Dr, Greenwood, IN 46143, USA"
56,95.1,91,100,5,2.8,US DC NFI - Breinigsville,A,shipper,high,Nestle Distribution Center (Truck Entrance),nestle-usa,"Breinigsville, PA",25,25,25,"Allentown, PA","555 Nestle Way, Breinigsville, PA 18031, USA"
57,95.1,91,100,5,2.8,US PL Greenwood Indiana,A,shipper,medium,Nestle Waters North America,nestle-usa,"Greenwood, IN",25,25,25,"Indianapolis, IN","900 Commerce Parkway West Dr, Greenwood, IN 46143, USA"
58,95.08,93,96,5,2.1,US PL Madison Factory,A,3pl,medium,Lineage,,"McFarland, WI",25,22,25,"Madison, WI","4704 Terminal Dr, McFarland, WI 53558, USA"
59,94.97,94,93.3,5,1.7,US DC NFI - Breinigsville,A,shipper,medium,Hea2 Amazon,amazon,"Breinigsville, PA",20,25,25,"Allentown, PA","650 Boulder Dr, Breinigsville, PA 18031, USA"
60,94.93,91,100,5,2.9,US PL Allentown Factory,A,shipper,medium,DSC,,"Breinigsville, PA",25,25,25,"Allentown, PA","861 Nestle Way, Breinigsville, PA 18031, USA"
61,94.93,91,100,5,2.9,US DC NFI - Breinigsville,A,shipper,medium,Coca-Cola Lehigh Valley Syrup,coca-cola,"Allentown, PA",25,25,25,"Allentown, PA","7551 Schantz Rd, Allentown, PA 18106, USA"
62,94.93,91,100,5,2.9,US DC Hot Springs (WHSE),A,shipper,medium,FedEx ShipSite,fedex,"Hot Springs, AR",25,25,25,"Little Rock, AR","National Park, 400 Cornerstone Blvd, Hot Springs, AR 71913, USA"
63,94.91,93,96,5,2.2,US PL Dallas 2 Factory,A,carrier,medium,Old Dominion Freight Line,,"Dallas, TX",25,22,25,"Dallas, TX","3225 Duncanville Rd, Dallas, TX 75236, USA"
64,94.8,94,93.3,5,1.8,US DC NFI - Breinigsville,A,3pl,high,Amazon fulfillment ABE2,amazon,"Breinigsville, PA",20,25,25,"Allentown, PA","Amazon, 705 Boulder Dr, Breinigsville, PA 18031, USA"
65,94.77,90,100,5,3,US PL Ontario Factory,A,shipper,high,Frito-Lay Inc. - Los Angeles Warehouse,frito-lay,"Rancho Cucamonga, CA",25,25,25,"Ontario, CA","9535 Archibald Ave, Rancho Cucamonga, CA 91730, USA"
66,94.77,90,100,5,3,US PL Ontario Factory,A,shipper,medium,FedEx Freight,fedex,"Jurupa Valley, CA",25,25,25,"Ontario, CA","12100 Riverside Dr, Jurupa Valley, CA 91752, USA"
67,94.65,99,84,5,0.3,US PL Ontario Factory,A,shipper,high,Niagara Bottling,niagara-bottling,"Ontario, CA",25,18,20,"Ontario, CA","2560 E Philadelphia St, Ontario, CA 91761, USA"
68,94.6,90,100,5,3.1,US PL Greenwood Indiana,A,carrier,high,Ryder Logistics,,"Greenwood, IN",25,25,25,"Indianapolis, IN","760 Commerce Pkwy E Dr, Greenwood, IN 46143, USA"
69,94.52,95,90.7,5,1.5,US PL Madison Factory,A,carrier,medium,ABF Freight,,"Madison, WI",25,18,25,"Madison, WI","2510 Daniels St, Madison, WI 53718, USA"
70,94.44,90,100,5,3.2,US PL Greenwood Indiana,A,shipper,high,FedEx warehouse,fedex,"Greenwood, IN",25,25,25,"Indianapolis, IN","650 Commerce Pkwy E Dr, Greenwood, IN 46143, USA"
71,94.44,90,100,5,3.2,US PL Sacramento Factory,A,shipper,medium,US Foods CHEF'STORE,,"Sacramento, CA",25,25,25,"Sacramento, CA","6985 65th St, Sacramento, CA 95823, USA"
72,94.4,92,96,5,2.5,US PL Denver Factory,A,shipper,medium,Culinaire Foods,,"Denver, CO",25,22,25,"Denver, CO","1111 W Exposition Ave, Denver, CO 80223, USA"
73,94.37,97,86.7,5,0.9,US PL Dallas 2 Factory,A,shipper,high,Costco Distribution Depot,costco,"Dallas, TX",20,25,20,"Dallas, TX","3730 Mountain Creek Pkwy, Dallas, TX 75236, USA"
74,94.37,97,86.7,5,0.9,US PL High Springs Factory,A,shipper,medium,Dollar General,,"High Springs, FL",20,25,20,"Jacksonville, FL","20115 US-441, High Springs, FL 32643, USA"
75,94.28,93,93.3,5,2.1,US PL Dallas 2 Factory,A,shipper,high,Cummins Regional Distribution Center - Dallas,,"Dallas, TX",20,25,25,"Dallas, TX","4895 Mountain Creek Pkwy, Dallas, TX 75249, USA"
76,94.2,97,86.7,5,1,US PL Greenwood Indiana,A,shipper,high,Aldi Distribution Center,,"Greenwood, IN",20,25,20,"Indianapolis, IN","486 Stop 18 Rd E, Greenwood, IN 46143, USA"
77,94.11,98,84,5,0.6,US PL Dallas 2 Factory,A,shipper,high,"Niagara Bottling, LLC",niagara-bottling,"Dallas, TX",25,18,20,"Dallas, TX","7343 Grady Niblo Rd, Dallas, TX 75236, USA"
78,94.11,89,100,5,3.4,US PL Ontario Factory,A,shipper,medium,Coca-Cola Co Ontario Syrup,coca-cola,"Ontario, CA",25,25,25,"Ontario, CA","1650 S Vintage Ave, Ontario, CA 91761, USA"
79,94.07,91,96,5,2.7,US DC NFI - Breinigsville,A,3pl,medium,Lineage,,"Allentown, PA",25,22,25,"Allentown, PA","7132 Ruppsville Rd, Allentown, PA 18106, USA"
80,93.94,95,89.3,5,1.6,US PL Zephyrhills Factory,A,3pl,high,Newell Logistics,,"Zephyrhills, FL",20,22,25,"Tampa, FL","6611 Forbes Rd, Zephyrhills, FL 33540, USA"
81,93.78,89,100,5,3.6,US PL Ontario Factory,A,shipper,high,Reyes Coca-Cola Bottling,coca-cola,"Rancho Cucamonga, CA",25,25,25,"Ontario, CA","10670 6th St, Rancho Cucamonga, CA 91730, USA"
82,93.78,89,100,5,3.6,US DC Hot Springs (WHSE),A,parcel,medium,FedEx Ground,fedex,"Hot Springs National Park, AR",25,25,25,"Little Rock, AR","575 Mid America Blvd, Hot Springs National Park, AR 71913, USA"
83,93.77,94,89.3,5,1.7,US PL Ontario Factory,A,shipper,high,Bridgestone Firestone Distribution Center,,"Ontario, CA",20,22,25,"Ontario, CA","4000 Mission Blvd, Ontario, CA 91761, USA"
84,93.77,92,93.3,5,2.4,US PL Dallas 2 Factory,A,shipper,medium,R+L Carriers,,"Dallas, TX",20,25,25,"Dallas, TX","2831 S Walton Walker Blvd, Dallas, TX 75211, USA"
85,93.77,92,93.3,5,2.4,US DC NFI - Breinigsville,A,shipper,medium,Crete Carrier Corporation,,"Macungie, PA",20,25,25,"Allentown, PA","2619 Schoeneck Rd, Macungie, PA 18062, USA"
86,93.62,88,100,5,3.7,US PL Ontario Factory,A,3pl,medium,Ceva Freight,,"Ontario, CA",25,25,25,"Ontario, CA","5555 E Jurupa St, Ontario, CA 91761, USA"
87,93.62,88,100,5,3.7,US PL Poland Spring Factory,A,shipper,medium,Pepsi Beverages CO,,"Auburn, ME",25,25,25,"Auburn, ME","191 Merrow Rd, Auburn, ME 04210, USA"
88,93.6,92,93.3,5,2.5,US DC Hot Springs (WHSE),A,shipper,medium,Amazon Counter -Smith Drug & Compounding(PUDO),amazon,"Hot Springs, AR",20,25,25,"Little Rock, AR","1 Mercy Ln Ste 103, Hot Springs, AR 71913, USA"
89,93.57,90,96,5,3,US DC NFI - Breinigsville,A,carrier,medium,XPO,,"Allentown, PA",25,22,25,"Allentown, PA","7649 Penn Dr, Allentown, PA 18106, USA"
90,93.49,95,86.7,5,1.4,US PL Sacramento Factory,A,shipper,medium,Procter & Gamble Co,,"Sacramento, CA",20,25,20,"Sacramento, CA","8201 Fruitridge Rd, Sacramento, CA 95826, USA"
91,93.49,95,86.7,5,1.4,US PL Sacramento Factory,A,shipper,medium,P&G Chemicals,,"Sacramento, CA",20,25,20,"Sacramento, CA","Procter and Gamble Driveway, Sacramento, CA 95826, USA"
92,93.46,88,100,5,3.8,US DC NFI - Breinigsville,A,3pl,medium,Geodis Allentown,,"Allentown, PA",25,25,25,"Allentown, PA","7189 Ambassador Dr, Allentown, PA 18106, USA"
93,93.46,88,100,5,3.8,US PL Saratoga Spring Factory,A,parcel,medium,FedEx Authorized ShipCenter,fedex,"Ballston Spa, NY",25,25,25,"Saratoga Springs, NY","15 Trieble Ave Ste 5, Ballston Spa, NY 12020, USA"
94,93.43,92,93.3,5,2.6,US PL Greenwood Indiana,A,shipper,medium,Next Carriers,,"Greenwood, IN",20,25,25,"Indianapolis, IN","3209 W Smith Valley Rd #137, Greenwood, IN 46142, USA"
95,93.4,90,96,5,3.1,US PL Ontario Factory,A,carrier,high,Swift Transportation - Jurupa Valley Terminal,,"Jurupa Valley, CA",25,22,25,"Ontario, CA","3575 Wineville Rd, Jurupa Valley, CA 91752, USA"
96,93.3,88,100,5,3.9,US PL Ontario Factory,A,3pl,high,"GEODIS | Contract Logistics",,"Ontario, CA",25,25,25,"Ontario, CA","5650 E Santa Ana St, Ontario, CA 91761, USA"
97,93.3,88,100,5,3.9,US PL Poland Spring Factory,A,shipper,medium,Frito-Lay Auburn PEC,frito-lay,"Auburn, ME",25,25,25,"Auburn, ME","220 1st Flight Dr, Auburn, ME 04210, USA"
98,93.27,91,93.3,5,2.7,US DC NFI - Breinigsville,A,shipper,medium,Keurig DrPepper,keurig-dr-pepper,"Allentown, PA",25,25,20,"Allentown, PA","7350 Industrial Blvd, Allentown, PA 18106, USA"
99,93.25,94,89.3,5,2,US DC NFI - Breinigsville,A,shipper,high,Bridgestone Americas Distribution Center,,"Allentown, PA",20,22,25,"Allentown, PA","8001 Industrial Blvd, Allentown, PA 18106, USA"
100,93.14,95,86.7,5,1.6,US PL S Houston Factory,A,shipper,medium,BASF Corporation,,"Houston, TX",15,25,25,"Houston, TX","1703 Crosspoint Ave, Houston, TX 77054, USA"
101,93.1,91,93.3,5,2.8,US DC NFI - Breinigsville,A,shipper,high,Owens & Minor - Allentown Distribution Center,,"Allentown, PA",25,25,20,"Allentown, PA","7437 Industrial Blvd, Allentown, PA 18106, USA"
102,93.09,98,80,5,0.5,US PL Dallas 2 Factory,A,3pl,high,Chewy Fulfillment Center DFW1,,"Dallas, TX",20,25,15,"Dallas, TX","7243 Grady Niblo Rd, Dallas, TX 75236, USA"
103,93.07,90,96,5,3.3,US PL Greenwood Indiana,A,carrier,medium,Estes Express Lines,,"Greenwood, IN",25,22,25,"Indianapolis, IN","747 Commerce Pkwy E Dr, Greenwood, IN 46143, USA"
104,92.97,92,90.7,5,2.4,US DC NFI - Breinigsville,A,3pl,medium,NFI DC,,"Breinigsville, PA",25,18,25,"Allentown, PA","200 Nestle Way, Breinigsville, PA 18031, USA"
105,92.93,91,93.3,5,2.9,US PL Greenwood Indiana,A,shipper,medium,Amazon FC - IND 9 Hiring Center,amazon,"Greenwood, IN",20,25,25,"Indianapolis, IN","1151 S Graham Rd, Greenwood, IN 46143, USA"
106,92.81,87,100,5,4.2,US PL Ontario Factory,A,3pl,high,Ceva Logistics,,"Mira Loma, CA",25,25,25,"Ontario, CA","11290 Cantu-Galleano Ranch Rd, Mira Loma, CA 91752, USA"
107,92.81,87,100,5,4.2,US PL Ontario Factory,A,parcel,medium,FedEx Ground - Chino,fedex,"Chino, CA",25,25,25,"Ontario, CA","15042 Flight Ave, Chino, CA 91710, USA"
108,92.81,87,100,5,4.2,US PL Ontario Factory,A,shipper,medium,General Mills,general-mills,"Mira Loma, CA",25,25,25,"Ontario, CA","3251 De Forest Cir, Mira Loma, CA 91752, USA"
109,92.8,94,86.7,5,1.8,US PL Ontario Factory,A,3pl,high,Staples Fulfillment Center,,"Ontario, CA",15,25,25,"Ontario, CA","1500 S Dupont Ave, Ontario, CA 91761, USA"
110,92.77,90,93.3,5,3,US PL Ontario Factory,A,shipper,high,Walmart Distribution Center,walmart,"Jurupa Valley, CA",20,25,25,"Ontario, CA","3485 Wineville Rd, Jurupa Valley, CA 91752, USA"
111,92.77,90,93.3,5,3,US PL Greenwood Indiana,A,shipper,medium,Amazon Facility,amazon,"Greenwood, IN",20,25,25,"Indianapolis, IN","1147 S Graham Rd, Greenwood, IN 46143, USA"
112,92.63,92,90.7,5,2.6,US PL Saratoga Spring Factory,A,shipper,high,Greenfield Manufacturing Inc.,,"Saratoga Springs, NY",25,18,25,"Saratoga Springs, NY","25 Freedom Wy, Saratoga Springs, NY 12866, USA"
113,92.63,92,90.7,5,2.6,US PL Allentown Factory,A,3pl,medium,NFI,,"Breinigsville, PA",25,18,25,"Allentown, PA","910 Nestle Way, Breinigsville, PA 18031, USA"
114,92.62,94,86.7,5,1.9,US PL Ontario Factory,A,3pl,high,A&M LOGISTICS INC,,"Ontario, CA",15,25,25,"Ontario, CA","1505 S Dupont Ave # A, Ontario, CA 91761, USA"
115,92.62,94,86.7,5,1.9,US PL Ontario Factory,A,shipper,high,LPM manufacturing,,"Ontario, CA",15,25,25,"Ontario, CA","1595 S Dupont Ave Ste D, Ontario, CA 91761, USA"
116,92.6,90,93.3,5,3.1,US PL Ontario Factory,A,shipper,high,Walmart Distribution Center 6060 (EV7),walmart,"Mira Loma, CA",20,25,25,"Ontario, CA","4250 Hamner Ave, Mira Loma, CA 91752, USA"
117,92.6,90,93.3,5,3.1,US PL Greenwood Indiana,A,shipper,medium,Amazon - Greenwood (VIN9) - Sub Same-Day,amazon,"Greenwood, IN",20,25,25,"Indianapolis, IN","305 Chaney Ave, Greenwood, IN 46143, USA"
118,92.58,89,96,5,3.6,US DC NFI - Breinigsville,A,3pl,high,Fastenal Fulfillment Center,,"Allentown, PA",25,22,25,"Allentown, PA","7036 Snowdrift Rd Suite 110, Allentown, PA 18106, USA"
119,92.5,86,100,5,4.4,US PL Denver Factory,A,shipper,medium,PepsiCo,,"Denver, CO",25,25,25,"Denver, CO","5715 N Pecos St, Denver, CO 80221, USA"
120,92.45,94,86.7,5,2,US PL Denver Factory,A,shipper,high,King Soopers/Kroger Tejon Street Distribution Center,kroger,"Denver, CO",20,25,20,"Denver, CO","65 Tejon St, Denver, CO 80223, USA"
121,92.45,94,86.7,5,2,US PL Ontario Factory,A,shipper,high,Panera Bread Warehouse,,"Ontario, CA",15,25,25,"Ontario, CA","1505 S Dupont Ave H, Ontario, CA 91761, USA"
122,92.44,90,93.3,5,3.2,US PL Greenwood Indiana,A,3pl,high,Amazon Fulfillment Center IND9,amazon,"Greenwood, IN",20,25,25,"Indianapolis, IN","2140 Stacies Wy, Greenwood, IN 46143, USA"
123,92.28,93,86.7,5,2.1,US PL Dallas 2 Factory,A,shipper,high,Exel/Owens Corning Warehouse,,"Dallas, TX",15,25,25,"Dallas, TX","3737 Highland Pl Dr, Dallas, TX 75236, USA"
124,92.28,93,86.7,5,2.1,US PL Saratoga Spring Factory,A,shipper,medium,Ball Metal Beverage Container,,"Saratoga Springs, NY",15,25,25,"Saratoga Springs, NY","11 Adams Rd, Saratoga Springs, NY 12866, USA"
125,92.28,93,86.7,5,2.1,US PL Ontario Factory,A,shipper,medium,Dupont Industrial Center,,"Ontario, CA",15,25,25,"Ontario, CA","Mm1505, S Dupont Ave b, Ontario, CA 91761, USA"
126,92.27,90,93.3,5,3.3,US PL Greenwood Indiana,A,shipper,high,Amazon Warehouse (DIN4),amazon,"Greenwood, IN",20,25,25,"Indianapolis, IN","1621 Collins Rd, Greenwood, IN 46143, USA"
127,92.27,90,93.3,5,3.3,US PL Ontario Factory,A,shipper,high,The Home Depot Distribution Center,the-home-depot,"Ontario, CA",20,25,25,"Ontario, CA","5450 E Francis St, Ontario, CA 91761, USA"
128,92.27,90,93.3,5,3.3,US PL Greenwood Indiana,A,shipper,medium,Earnest Machine,,"Greenwood, IN",20,25,25,"Indianapolis, IN","1741 Keaton Wy Suite A, Greenwood, IN 46143, USA"
129,92.02,96,80,5,1.1,US PL High Springs Factory,A,shipper,medium,Tractor Supply Co.,,"High Springs, FL",20,25,15,"Jacksonville, FL","20460 US-441, High Springs, FL 32643, USA"
130,92.02,85,100,5,4.7,US PL Greenwood Indiana,A,shipper,high,DHL Warehouse Verizon,,"Whiteland, IN",25,25,25,"Indianapolis, IN","45 Mission Rd, Whiteland, IN 46184, USA"
131,92,94,84,5,1.8,US PL Dallas 2 Factory,A,shipper,high,"Niagara Bottling, LLC",niagara-bottling,"Dallas, TX",25,18,20,"Dallas, TX","4851 Mountain Creek Pkwy, Dallas, TX 75236, USA"
