Rank,Composite,Proximity,Fit %,Density,Distance (mi),Nearest Primo Site,Tier,Segment,Confidence,Name,Account,"City, State",Vertical,Enterprise,Network,Corridor,Address
7288,17.24,8,33.3,1,76.9,US DC NFI - Breinigsville,C,3pl,medium,"Warehousing, Storage & Fulfillment",,"Wayne, NJ",25,0,0,"Allentown, PA","25 Continental Dr, Wayne, NJ 07470, USA"
7289,17.22,13,33.3,0,60.9,US PL Sacramento Factory,C,shipper,medium,Ultima Mobile Bottling Inc,,"Sonoma, CA",25,0,0,"Sacramento, CA","23355 Millerick Rd, Sonoma, CA 95476, USA"
7290,17.18,8,33.3,1,77.3,US PL Hollis Factory,C,shipper,low,Four-In-One Inc.,,"Chelmsford, MA",25,0,0,"Auburn, ME","12 Alpha Rd, Chelmsford, MA 01824, USA"
7291,17.17,8,33.3,1,77.4,US DC NFI - Breinigsville,C,3pl,medium,Plated Fulfillment Center,,"Totowa, NJ",25,0,0,"Allentown, PA","8 Vreeland Ave, Totowa, NJ 07512, USA"
7292,17.17,5,37.3,1,87.6,US PL Hot Springs 2 Factory,C,shipper,medium,El Almacen The Warehouse,,"Searcy, AR",25,3,0,"Searcy, AR","1805 E Race Ave, Searcy, AR 72143, USA"
7293,17.15,13,33.3,0,61.2,US PL McBee Factory,C,shipper,medium,Prospect Cold Storage,,"Maxton, NC",25,0,0,"Lumberton, NC","91 Sherill Rd, Maxton, NC 28364, USA"
7294,17.14,8,33.3,1,77.6,US PL Sacramento Factory,C,shipper,medium,United Cold Storage,,"San Francisco, CA",25,0,0,"Hayward, CA","1600 Donner Ave, San Francisco, CA 94124, USA"
7295,17.11,7,33.3,1,77.8,US PL McBee Factory,C,3pl,medium,Macy's Bloomingdale's Fulfillment Center,,"China Grove, NC",25,0,0,"Charlotte, NC","1305 Liberty Rdg Rd, China Grove, NC 28023, USA"
7296,17.07,31,0,0,35.1,US PL High Springs Factory,D,shipper,low,"Fish, Boat & Explore: Cross Creek Cabin w/ Dock!",,"Florida 32640, USA",0,0,0,"Ocala, FL","Florida 32640, USA"
7297,17.07,20,20,0,48.1,US PL Zephyrhills Factory,D,shipper,low,Storage Worx Crystal River,,"Lecanto, FL",15,0,0,"Hernando, FL","5220 W Gulf To Lake Hwy, Lecanto, FL 34461, USA"
7298,17.03,13,33.3,0,61.7,US PL Madison Factory,C,shipper,medium,GE Healthcare Distribution Center,,"Muskego, WI",25,0,0,"Muskego, WI","W160S6471 Commerce Dr, Muskego, WI 53150, USA"
7299,17.01,31,0,0,35.2,US PL Dallas 2 Factory,D,shipper,low,The Whiskey Blendery,,"Oak Point, TX",0,0,0,"Dallas, TX","147 Lloyd's Rd STE 100, Oak Point, TX 75068, USA"
7300,17.01,11,26.7,1,66.4,US PL Zephyrhills Factory,D,shipper,medium,Southern Manufacturing Company,,"Sanford, FL",20,0,0,"Deltona, FL","2000 E Lake Mary Blvd, Sanford, FL 32773, USA"
7301,17,7,33.3,1,78.6,US PL Allentown NPL Factory,C,shipper,low,CrossDock Connect,,"Mechanicsburg, PA",25,0,0,"Allentown, PA","1160A W Trindle Rd, Mechanicsburg, PA 17055, USA"
7302,16.97,16,26.7,0,54.4,US PL Zephyrhills Factory,D,shipper,medium,"Phillips Manufacturing, Co.",,"Umatilla, FL",20,0,0,"Tampa, FL","8357 38051 FL-19, Umatilla, FL 32784, USA"
