,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Kraft Heinz - Fremont,Food Products Supplier,#6,Gate + GS (not BU sens.) + campus,,,,,,,,3,,,YES,YES,,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,,Urban,,YES,,,"https://www.google.com/maps/place/Kraft+Heinz+Company/@41.3605075,-83.0932834,717m/d[…]1hc3c524f?entry=ttu&g_ep=EgoyMDI1MDIxNy4wIKXMDSoASAFQAw%3D%3D"
Kraft Foods - Springfield,Manufacturer,#1,Gate + GS (not BU sens.),,,,,,,,3,,,YES,YES,,,YES,YES,,,YES,,1,1,,,,,YES,,,,YES,,Urban,,,,,"https://www.google.com/maps/place/Kraft+Foods+Distribution/@37.2353356,-93.2186898,2181m/data=!3m1!1e3!4m10!1m2!2m1!1skraft+heinz+springfield+mo!3m6!1s0x87cf7d74255f62d3:0x9abeaa8a7b1f5dda!8m2!3d37.2309646!4d-93.2134017!15sChprcmFmdCBoZWlueiBzcHJpbmdmaWVsZCBtbyIDiAEBkgEMbWFudWZhY3R1cmVy4AEA!16s%2Fg%2F11c48mqdkg?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Dover,Food Manufacturer,#1,Gate + GS (not BU sens.),,,,,,,,NA,,,YES,YES,,,YES,,YES,,YES,,2,2,,,YES,,,,,,YES,,Urban,,,,,"https://www.google.com/maps/place/Kraft+Heinz-Dover/@39.149205,-75.5443487,1524m/data=!3m1!1e3!4m6!3m5!1s0x89c77d0ec971296b:0xf9dc50ad0e2932a7!8m2!3d39.1487688!4d-75.5432442!16s%2Fg%2F11fmq0x8zf?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Mason City,Food Manufacturer,#8,Gate + GS (not BU sens.) + scale,,,,,,,,3,,,YES,YES,,,YES,YES,,,YES,,1,1,,,YES,,,,,YES,,,Rural,YES,,YES,,"https://www.google.com/maps/place/Kraft+Heinz-Mason+City/@43.1627479,-93.2164507,500m/data=!3m1!1e3!4m6!3m5!1s0x87f107aa0ed70c1b:0x34076eae1343f74d!8m2!3d43.1639539!4d-93.2176109!16s%2Fg%2F1thl5_5q?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Cedar Rapids,Food Manufacturer,#3,No Gate / No GS,,,,,,,,3,,,NO,NO,,,YES,YES,,,YES,,1,1,,YES,,,,YES,,,,,Urban,,,,,"https://www.google.com/maps/place/Kraft+Heinz-Cedar+Rapids/@41.9354082,-91.636307,2588m/data=!3m1!1e3!4m6!3m5!1s0x87e4f64ac353a299:0x65bacfc16da321d2!8m2!3d41.932207!4d-91.6361763!16s%2Fg%2F1tnpf_5z?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Mason City,Food Manufacturer,#3,No Gate / No GS,,,,,,,,1,,,NO,NO,,YES,,YES,,,YES,,1,1,,,YES,,,NONE,,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz+-+Mason/@39.3342243,-84.3326496,1307m/data=!3m1!1e3!4m6!3m5!1s0x8840576a3cc5f709:0x44e692880989a528!8m2!3d39.3324749!4d-84.3316314!16s%2Fg%2F11b66cgjfb?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Beaver Dam,Food Products Supplier,#3,No Gate / No GS,,,,,,,,3,,,NO,NO,,YES,,,YES,,YES,,1,1,,YES,,,,NONE,,,,,Rural,YES,,,YES,"https://www.google.com/maps/place/Kraft+Heinz-Beaver+Dam/@43.4531347,-88.8351231,3299m/data=!3m1!1e3!4m14!1m7!3m6!1s0x88069f1103b70f25:0xb1afe36d1395e6ef!2sKraft+Heinz-Beaver+Dam!8m2!3d43.4518323!4d-88.8387536!16s%2Fg%2F12hqqqp_d!3m5!1s0x88069f1103b70f25:0xb1afe36d1395e6ef!8m2!3d43.4518323!4d-88.8387536!16s%2Fg%2F12hqqqp_d?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Coshocton,Manufacturer,#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,3,,,YES,YES,,,YES,YES,,,YES,,2,1,YES,,YES,,,YES,,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Foods/@40.2498672,-81.8695447,332m/data=!3m1!1e3!4m6!3m5!1s0x883798a19b04d9a3:0x7dff8c73abd2d20!8m2!3d40.2497856!4d-81.8697284!16s%2Fg%2F1v76_b0f?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Champaign,Food Manufacturer,#6,Gate + GS (not BU sens.) + campus,,,,,,,,3,,,YES,YES,,,YES,,YES,YES,YES,,1,1,,,,YES,,YES,,,,,Urban,,YES,,,"https://www.google.com/maps/place/Kraft+Heinz-Champaign/@40.1206549,-88.2691814,2387m/data=!3m1!1e3!4m6!3m5!1s0x880cd09c9dfe8a83:0x560a91cb4c58ff81!8m2!3d40.1259519!4d-88.2717434!16s%2Fg%2F1wl4r5gm?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Woodstock,Manufacturer,#2,Gate + GS (not BU sens.)+separate,,,,,,,,3,,,YES,YES,,,YES,YES,,,YES,YES,1,1,,YES,,,,YES,,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz-Woodstock/@42.3200967,-88.4692426,507m/data=!3m1!1e3!4m6!3m5!1s0x880f69e8cfb5217b:0x16b31c053d9a03d!8m2!3d42.3209369!4d-88.4714377!16s%2Fg%2F11dztqgxpw?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Ft Myers,Manufacturer,#9,Gate + No GS (remote check-in),,,,,,,,1,,,YES,NO,YES,,YES,,YES,YES,YES,,1,1,,YES,,,,NONE,,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz-Fort+Myers/@26.665613,-81.8031436,289m/data=!3m1!1e3!4m6!3m5!1s0x88db6967d1d35387:0xc161d4ee84199087!8m2!3d26.6654126!4d-81.8027997!16s%2Fg%2F1263qxsh6?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Kendallville,Manufacturer,#3,No Gate / No GS,,,,,,,,3,,,NO,NO,,YES,,YES,,,YES,,1,1,,,YES,,,,YES,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz-Kendallville/@41.4313632,-85.2652943,514m/data=!3m1!1e3!4m6!3m5!1s0x881614ac243f78d9:0x81253beb1ab62fe5!8m2!3d41.4323654!4d-85.2673645!16s%2Fg%2F1tk1zn87?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
